Name                                                                           Version          
TokenTool                                                                      2.2.2            
Microsoft Teams Meeting Add-in for Microsoft Office                            1.24.25506       
Python 3.7.0 Development Libraries (32-bit)                                    3.7.150.0        
Python 3.7.0 Test Suite (32-bit)                                               3.7.150.0        
Python 3.7.0 Executables (32-bit)                                              3.7.150.0        
nu                                                                             0.103.0          
Python 3.7.0 Core Interpreter (32-bit)                                         3.7.150.0        
Python 3.7.0 pip Bootstrap (32-bit)                                            3.7.150.0        
Python 3.7.0 Tcl/Tk Support (32-bit)                                           3.7.150.0        
Python 3.7.0 Standard Library (32-bit)                                         3.7.150.0        
Python 3.7.0 Utility Scripts (32-bit)                                          3.7.150.0        
Python 3.7.0 Documentation (32-bit)                                            3.7.150.0        
nu                                                                             0.103.0          
Dell SupportAssist OS Recovery Plugin for Dell Update                          5.5.13.0         
Python 3.12.4 Test Suite (64-bit)                                              3.12.4150.0      
Microsoft .NET AppHost Pack - 8.0.15 (x64)                                     64.60.31149      
Microsoft Windows Desktop Runtime - 8.0.15 (x64)                               64.60.31203      
Windows Mobile Extension SDK Contracts                                         10.1.22621.3233  
Universal CRT Extension SDK                                                    10.1.22621.3233  
Application Verifier x64 External Package (OnecoreUAP)                         10.1.22621.3233  
Neovim                                                                         0.10.4           
SQL Server 2022 XEvent                                                         16.0.1000.6      
vs_minshellinteropsharedmsi                                                    17.10.34804      
Windows App Certification Kit Native Components                                10.1.22621.3233  
vs_devenx64vmsi                                                                17.10.34803      
Windows SDK for Windows Store Managed Apps Libs                                10.1.22621.3233  
Microsoft.NET.Sdk.Maui.Manifest-8.0.100 (x64)                                  8.0.3            
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64)                      64.28.16731      
SQL Server 2022 Shared Management Objects                                      16.0.1000.6      
Microsoft.NET.Workload.Emscripten.Current.Manifest (x64)                       64.28.16721      
Microsoft .NET Framework 4.8 Targeting Pack                                    4.8.03761        
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219                    10.0.40219       
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)                          64.60.31025      
Windows App Certification Kit x64                                              10.1.22621.3233  
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                    10.0.40219       
PowerShell 7-x64                                                               7.5.0.0          
Logi RightSightForWebcams 1.1.131                                              1.1.131.0        
Microsoft Visual Studio Setup Configuration                                    3.9.2148.60653   
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)                      64.28.16731      
Microsoft .NET Host FX Resolver - 8.0.7 (x64)                                  64.28.16731      
Microsoft .NET 8.0 Templates 8.0.303 (x64)                                     32.9.56572       
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.42.34433                 14.42.34433      
SQL Server 2022 Database Engine Shared                                         16.0.1000.6      
MySQL Documents                                                                8.0.40           
Windows SDK for Windows Store Apps Tools                                       10.1.22621.3233  
Microsoft .NET AppHost Pack - 8.0.7 (x64_x86)                                  64.28.16731      
DB Browser for SQLite                                                          3.13.1           
Microsoft ASP.NET Core 8.0.7 Shared Framework (x64)                            8.0.7.24314      
SQL Server 2022 Connection Info                                                16.0.1000.6      
Microsoft ASP.NET Diagnostic Pack for Visual Studio                            17.10.344.38934  
Oracle VirtualBox 7.1.4                                                        7.1.4            
Microsoft Analysis Services OLE DB Provider                                    16.0.5143.0      
vs_filehandler_amd64                                                           17.10.34804      
Microsoft OLE DB Driver for SQL Server                                         18.7.4.0         
IntelliTraceProfilerProxy                                                      15.0.21225.01    
Microsoft Azure Authoring Tools - v2.9.7                                       2.9.8999.45      
vs_minshellsharedmsi                                                           17.10.34804      
WinRT Intellisense Desktop - Other Languages                                   10.1.22621.3233  
SQL Server 2022 Connection Info                                                16.0.1000.6      
WPT Redistributables                                                           10.1.22621.3233  
Microsoft Visual Studio Tools for Applications 2019 x64 Hosting Support        16.0.31110       
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.40.33810                      14.40.33810      
SQL Server 2022 Advanced Analytics                                             16.0.1000.6      
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64)                          64.28.16721      
Universal CRT Tools x64                                                        10.1.22621.3233  
Windows SDK Desktop Libs arm                                                   10.1.22621.3233  
WinRT Intellisense Desktop - en-us                                             10.1.22621.3233  
Windows SDK Desktop Libs x86                                                   10.1.22621.3233  
vs_clickoncebootstrappermsires                                                 17.10.34803      
Microsoft Web Deploy 4.0                                                       10.0.8305        
Windows Mobile Extension SDK                                                   10.1.22621.3233  
Windows SDK Redistributables                                                   10.1.22621.3233  
vs_Graphics_Singletonx64                                                       17.10.34804      
Aspire.Hosting.Orchestration.win-x64 (x64)                                     8.0.0.0          
Python 3.12.4 Add to Path (64-bit)                                             3.12.4150.0      
Microsoft Azure Libraries for .NET - v2.9                                     3.0.2310.23      
Microsoft .NET Framework 4.7.2 Targeting Pack (ENU)                            4.7.03062        
Microsoft MPI (10.1.12498.18)                                                  10.1.12498.18    
Logi Plugin Service                                                            6.1.1.22213      
Microsoft.NET.Sdk.iOS.Manifest-8.0.100 (x64)                                   17.2.8053        
Microsoft ASP.NET Core Module for IIS Express                                  12.2.18292.0     
Microsoft .NET Runtime - 8.0.15 (x64)                                          64.60.31149      
vs_githubprotocolhandlermsi                                                    17.10.34803      
